deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9828, -0.0603027, -0.0356445, 0.9079590, -2.5144612, 4.2326374, -1.7011810
9808, -0.0659180, -0.0334473, 0.8981934, -2.5037231, 4.2288622, -1.7021504
9828, -0.0644531, -0.0400391, 0.9008790, -2.5022380, 4.2224121, -1.7014880
9800, -0.0695801, -0.0339355, 0.9101563, -2.4912774, 4.2234110, -1.7001214
12328, -0.0637207, -0.0280762, 0.9052735, -2.4749336, 4.2176842, -1.7017804
9848, -0.0637207, -0.0356445, 0.9067383, -2.4666442, 4.2111673, -1.7012383
9836, -0.0678711, -0.0412598, 0.8955079, -2.4667878, 4.2099065, -1.7015834
9816, -0.0605469, -0.0393066, 0.8950196, -2.4643745, 4.2003355, -1.7026903
9800, -0.0649414, -0.0385742, 0.9074707, -2.4616582, 4.1949429, -1.7039201
9812, -0.0681152, -0.0329590, 0.9072266, -2.4513497, 4.1939878, -1.7054390
12328, -0.0673828, -0.0373535, 0.9042969, -2.4471797, 4.1922388, -1.7041667
9868, -0.0637207, -0.0358887, 0.8994141, -2.4405937, 4.1858725, -1.7026629
9824, -0.0683594, -0.0371094, 0.9030762, -2.4339802, 4.1855516, -1.7028240
9808, -0.0639648, -0.0354004, 0.9111329, -2.4266965, 4.1784219, -1.7024193
9832, -0.0693359, -0.0380859, 0.9047852, -2.4217259, 4.1793823, -1.7029324
9816, -0.0700684, -0.0314941, 0.9067383, -2.4115188, 4.1818208, -1.7028026
9812, -0.0668945, -0.0297852, 0.9099122, -2.3977625, 4.1792855, -1.7032223
12372, -0.0617676, -0.0354004, 0.8986817, -2.3923132, 4.1709170, -1.7032325
9864, -0.0637207, -0.0383301, 0.9079590, -2.3884303, 4.1647934, -1.7047533
9808, -0.0676270, -0.0341797, 0.9128418, -2.3801360, 4.1612372, -1.7064096
9820, -0.0549316, -0.0397949, 0.9038086, -2.3791136, 4.1451716, -1.7059600
9804, -0.0676270, -0.0295410, 0.9172364, -2.3686676, 4.1424326, -1.7058301
9820, -0.0710449, -0.0288086, 0.9160157, -2.3557541, 4.1445789, -1.7055629
9812, -0.0708008, -0.0341797, 0.9182129, -2.3456919, 4.1449913, -1.7042286
12324, -0.0690918, -0.0368652, 0.9042969, -2.3424453, 4.1456165, -1.7038722
9872, -0.0644531, -0.0361328, 0.9079590, -2.3370265, 4.1422290, -1.7027806
9796, -0.0712891, -0.0273438, 0.9042969, -2.3230845, 4.1472740, -1.7012623
9832, -0.0722656, -0.0307617, 0.9091797, -2.3118705, 4.1511363, -1.7009654
9816, -0.0676270, -0.0336914, 0.9099122, -2.3041167, 4.1484179, -1.6995988
9824, -0.0695801, -0.0288086, 0.9047852, -2.2910985, 4.1510710, -1.7002179
17288, -0.0742188, -0.0363770, 0.9082032, -2.2916219, 4.1599249, -1.7027063
14656, -0.0708008, -0.0292969, 0.9077149, -2.2795870, 4.1588554, -1.7005806
9884, -0.0698242, -0.0358887, 0.9194336, -2.2745535, 4.1594867, -1.7004508
9844, -0.0756836, -0.0388184, 0.9133301, -2.2727513, 4.1669902, -1.6992218
9864, -0.0761719, -0.0390625, 0.9116211, -2.2735111, 4.1745300, -1.6993989
9864, -0.0693359, -0.0390625, 0.9128418, -2.2707109, 4.1742939, -1.6988569
9820, -0.0783691, -0.0410156, 0.9047852, -2.2728664, 4.1838226, -1.7002394
19612, -0.0698242, -0.0473633, 0.9108887, -2.2795982, 4.1845464, -1.6990347
9876, -0.0668945, -0.0483398, 0.8981934, -2.2917454, 4.1832785, -1.6978218
9844, -0.0725098, -0.0380859, 0.9121094, -2.2909684, 4.1881690, -1.6974172
9832, -0.0739746, -0.0351562, 0.9011231, -2.2880330, 4.1933350, -1.6963570
9836, -0.0717773, -0.0310059, 0.9062500, -2.2785296, 4.1962323, -1.6959073
9844, -0.0747070, -0.0295410, 0.9094239, -2.2684843, 4.2038135, -1.6968317
9828, -0.0695801, -0.0319824, 0.8996582, -2.2608544, 4.2064347, -1.6965348
12392, -0.0739746, -0.0373535, 0.9079590, -2.2596759, 4.2104511, -1.6969113
9860, -0.0725098, -0.0417480, 0.9108887, -2.2641248, 4.2133636, -1.6965067
9808, -0.0695801, -0.0371094, 0.9072266, -2.2634935, 4.2128539, -1.6960570
9812, -0.0690918, -0.0300293, 0.8989258, -2.2551977, 4.2152404, -1.6980502
9788, -0.0712891, -0.0314941, 0.9040528, -2.2483768, 4.2196364, -1.6999814
9820, -0.0600586, -0.0332031, 0.9030762, -2.2440361, 4.2100715, -1.6995317
9804, -0.0659180, -0.0383301, 0.8979493, -2.2479338, 4.2073879, -1.7003035
12340, -0.0710449, -0.0368652, 0.9006348, -2.2475175, 4.2096676, -1.7008166
9840, -0.0742188, -0.0310059, 0.9057618, -2.2390275, 4.2173542, -1.6998623
9828, -0.0688477, -0.0400391, 0.9118653, -2.2434892, 4.2159681, -1.6984967
9816, -0.0700684, -0.0341797, 0.9030762, -2.2401387, 4.2178316, -1.6983524
9812, -0.0698242, -0.0395508, 0.9030762, -2.2434816, 4.2184281, -1.6969867
9812, -0.0642090, -0.0385742, 0.8991700, -2.2433404, 4.2121987, -1.6978187
9808, -0.0566406, -0.0373535, 0.9057618, -2.2436826, 4.1982417, -1.6975514
12396, -0.0681152, -0.0327148, 0.9038086, -2.2382619, 4.1969900, -1.6973639
9860, -0.0622559, -0.0356445, 0.9038086, -2.2370460, 4.1905984, -1.6987464
9804, -0.0661621, -0.0356445, 0.9060059, -2.2345178, 4.1887178, -1.6984791
9824, -0.0605469, -0.0395508, 0.9033204, -2.2369127, 4.1799998, -1.6987929
9808, -0.0666504, -0.0395508, 0.8996582, -2.2383241, 4.1767086, -1.6993501
9812, -0.0654297, -0.0378418, 0.9040528, -2.2374567, 4.1734728, -1.6998166
