deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9812, -0.0227051, -0.0058594, 0.9187012, -0.6297960, 1.2351781, 1.1554663
9792, -0.0207520, -0.0239258, 0.9089356, -0.6453407, 1.2365355, 1.1572327
9788, -0.0207520, -0.0048828, 0.9145508, -0.6400656, 1.2366560, 1.1588901
9756, -0.0278320, -0.0061035, 0.9074707, -0.6356434, 1.2447669, 1.1605474
9764, -0.0280762, -0.0092773, 0.9125977, -0.6360307, 1.2536023, 1.1617467
12344, -0.0246582, -0.0141602, 0.9191895, -0.6406843, 1.2593828, 1.1595218
9832, -0.0297852, -0.0085449, 0.9091797, -0.6415336, 1.2742363, 1.1630744
9792, -0.0217285, -0.0200195, 0.9118653, -0.6485028, 1.2758380, 1.1623784
9788, -0.0222168, -0.0065918, 0.9196778, -0.6427475, 1.2752777, 1.1637326
9800, -0.0278320, -0.0134277, 0.9133301, -0.6456456, 1.2849626, 1.1664586
9784, -0.0156250, -0.0139160, 0.9099122, -0.6483483, 1.2776007, 1.1674005
9776, -0.0197754, -0.0080566, 0.9089356, -0.6501134, 1.2720084, 1.1647831
12344, -0.0134277, -0.0139160, 0.9084473, -0.6545916, 1.2663484, 1.1620085
9824, -0.0209961, -0.0041504, 0.9099122, -0.6455650, 1.2670785, 1.1615284
9776, -0.0209961, 0.0034180, 0.9140625, -0.6261791, 1.2678565, 1.1623330
9744, -0.0236816, -0.0139160, 0.9106446, -0.6356630, 1.2745207, 1.1643240
9776, -0.0205078, -0.0068359, 0.9086915, -0.6358268, 1.2754030, 1.1658155
9764, -0.0246582, -0.0039063, 0.9116211, -0.6310367, 1.2834830, 1.1662515
12344, -0.0283203, -0.0151367, 0.9113770, -0.6361590, 1.2934145, 1.1649426
9832, -0.0168457, -0.0114746, 0.9108887, -0.6377615, 1.2943468, 1.1630884
9804, -0.0212402, -0.0283203, 0.9191895, -0.6565449, 1.2910815, 1.1592212
9780, -0.0253906, -0.0195312, 0.9143067, -0.6672316, 1.2931566, 1.1570618
9796, -0.0317383, -0.0104980, 0.9194336, -0.6651905, 1.3061540, 1.1584160
9780, -0.0261230, -0.0075684, 0.9177247, -0.6562909, 1.3143582, 1.1557985
9792, -0.0163574, -0.0112305, 0.9143067, -0.6562478, 1.3062657, 1.1551657
12352, -0.0214844, -0.0070801, 0.9152832, -0.6578922, 1.3126193, 1.1573377
9832, -0.0217285, -0.0080566, 0.9091797, -0.6606400, 1.3135467, 1.1559416
9796, -0.0234375, -0.0168457, 0.9165040, -0.6691627, 1.3198246, 1.1563775
9796, -0.0227051, -0.0185547, 0.9138184, -0.6775856, 1.3207685, 1.1568135
9808, -0.0263672, -0.0156250, 0.9160157, -0.6836338, 1.3280121, 1.1574021
17396, -0.0148926, -0.0144043, 0.9086915, -0.6929247, 1.3194953, 1.1604790
12100, -0.0180664, -0.0119629, 0.9160157, -0.6921297, 1.3170747, 1.1606358
12456, -0.0244141, -0.0070801, 0.9094239, -0.6878769, 1.3155527, 1.1598764
9812, -0.0163574, -0.0085449, 0.9128418, -0.6843909, 1.3088102, 1.1575207
9788, -0.0187988, -0.0104980, 0.9101563, -0.6827583, 1.3041232, 1.1567353
9792, -0.0246582, -0.0100098, 0.9138184, -0.6811789, 1.3083593, 1.1568658
9788, -0.0324707, -0.0058594, 0.9152832, -0.6752418, 1.3270972, 1.1539429
9784, -0.0202637, -0.0124512, 0.9152832, -0.6763170, 1.3270970, 1.1554344
9796, -0.0161133, -0.0129395, 0.9152832, -0.6772313, 1.3207498, 1.1528038
19680, -0.0178223, -0.0139160, 0.9135743, -0.6772229, 1.3146344, 1.1512330
9868, -0.0190430, -0.0104980, 0.9064942, -0.6753327, 1.3144186, 1.1512110
9816, -0.0314941, -0.0178223, 0.9135743, -0.6818207, 1.3266292, 1.1487178
9836, -0.0158691, -0.0102539, 0.9091797, -0.6802159, 1.3205813, 1.1448507
9820, -0.0178223, -0.0107422, 0.9091797, -0.6812105, 1.3187147, 1.1404600
9808, -0.0212402, -0.0068359, 0.9162598, -0.6762144, 1.3200848, 1.1419515
9812, -0.0246582, -0.0092773, 0.9189454, -0.6723140, 1.3223607, 1.1404027
12324, -0.0246582, -0.0139160, 0.9108887, -0.6744796, 1.3279432, 1.1420251
9824, -0.0222168, -0.0124512, 0.9145508, -0.6771215, 1.3306769, 1.1418503
9808, -0.0195312, -0.0122070, 0.9118653, -0.6763109, 1.3273725, 1.1426548
9800, -0.0202637, -0.0104980, 0.9079590, -0.6754486, 1.3262917, 1.1383579
9788, -0.0202637, -0.0180664, 0.9167481, -0.6816105, 1.3242329, 1.1394373
9796, -0.0219727, 0.0004883, 0.9096680, -0.6667233, 1.3284126, 1.1387412
12304, -0.0178223, -0.0229492, 0.9077149, -0.6794670, 1.3245512, 1.1352338
9844, -0.0222168, -0.0009766, 0.9189454, -0.6686858, 1.3277846, 1.1383743
9800, -0.0261230, -0.0183105, 0.9133301, -0.6777970, 1.3317451, 1.1412529
9792, -0.0258789, -0.0122070, 0.9116211, -0.6801068, 1.3401995, 1.1421949
9780, -0.0219727, -0.0092773, 0.9150391, -0.6777186, 1.3360879, 1.1421750
9800, -0.0261230, -0.0117188, 0.9082032, -0.6789885, 1.3443310, 1.1432217
9796, -0.0205078, -0.0075684, 0.9091797, -0.6740672, 1.3416283, 1.1432018
12340, -0.0168457, -0.0192871, 0.9133301, -0.6834495, 1.3398480, 1.1433585
9836, -0.0131836, -0.0100098, 0.9147950, -0.6854361, 1.3323910, 1.1443419
9784, -0.0205078, -0.0051270, 0.9199219, -0.6801322, 1.3329290, 1.1452839
9776, -0.0222168, -0.0122070, 0.9072266, -0.6799662, 1.3345283, 1.1467754
9796, -0.0187988, -0.0141602, 0.9111329, -0.6855682, 1.3316894, 1.1488167
9796, -0.0209961, -0.0119629, 0.9155274, -0.6885919, 1.3320783, 1.1489472
9804, -0.0224609, -0.0068359, 0.9179688, -0.6855470, 1.3331518, 1.1502991
12332, -0.0190430, -0.0073242, 0.9050293, -0.6796660, 1.3315273, 1.1502727
9820, -0.0217285, -0.0114746, 0.9160157, -0.6796931, 1.3352738, 1.1516269
9808, -0.0236816, -0.0146484, 0.9057618, -0.6836681, 1.3390761, 1.1529461
9796, -0.0292969, -0.0056152, 0.9194336, -0.6751643, 1.3486094, 1.1540254
9788, -0.0332031, -0.0202637, 0.9123536, -0.6847367, 1.3658186, 1.1530437
9788, -0.0166016, -0.0048828, 0.9128418, -0.6788610, 1.3609143, 1.1499682
9776, -0.0222168, -0.0124512, 0.9096680, -0.6785027, 1.3652286, 1.1490302
12340, -0.0168457, -0.0063477, 0.9145508, -0.6732852, 1.3598282, 1.1517517
9832, -0.0195312, -0.0202637, 0.9125977, -0.6827854, 1.3565096, 1.1529510
9800, -0.0212402, -0.0048828, 0.9104004, -0.6768892, 1.3558676, 1.1523815
9772, -0.0253906, -0.0080566, 0.9111329, -0.6765043, 1.3596867, 1.1535807
9776, -0.0224609, -0.0161133, 0.9174805, -0.6785805, 1.3627890, 1.1521846
9792, -0.0205078, -0.0087891, 0.9145508, -0.6783412, 1.3643820, 1.1547753
9780, -0.0236816, -0.0117188, 0.9111329, -0.6818351, 1.3653168, 1.1548929
19972, -0.0275879, -0.0090332, 0.9218750, -0.6791075, 1.3747317, 1.1475205
12088, -0.0168457, -0.0068359, 0.9143067, -0.6703513, 1.3718289, 1.1443794
9884, -0.0180664, -0.0129395, 0.9143067, -0.6712336, 1.3650010, 1.1440848
9784, -0.0158691, -0.0112305, 0.9069825, -0.6710832, 1.3595585, 1.1442023
9800, -0.0266113, -0.0075684, 0.9116211, -0.6654277, 1.3637659, 1.1463612
