deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9760, -0.0556641, -0.0505371, 0.9111329, -2.6165735, 3.4921779, 0.6338349
9780, -0.0551758, -0.0490723, 0.9123536, -2.6219823, 3.4887592, 0.6322656
9784, -0.0571289, -0.0473633, 0.9057618, -2.6250278, 3.4871692, 0.6318151
9776, -0.0561523, -0.0495605, 0.9074707, -2.6306328, 3.4851672, 0.6311619
9764, -0.0578613, -0.0422363, 0.9167481, -2.6280260, 3.4857189, 0.6300243
12300, -0.0563965, -0.0495605, 0.8974610, -2.6339302, 3.4836549, 0.6306493
9796, -0.0498047, -0.0444336, 0.9035645, -2.6349971, 3.4729039, 0.6304736
9772, -0.0512695, -0.0458984, 0.9050293, -2.6370561, 3.4654812, 0.6305947
9772, -0.0590820, -0.0515137, 0.9140625, -2.6439476, 3.4663224, 0.6298694
9768, -0.0512695, -0.0493164, 0.9016114, -2.6499929, 3.4588534, 0.6286054
9780, -0.0502930, -0.0449219, 0.9106446, -2.6496877, 3.4484379, 0.6287045
9760, -0.0583496, -0.0478516, 0.9089356, -2.6537964, 3.4477689, 0.6296654
12304, -0.0556641, -0.0510254, 0.9060059, -2.6619668, 3.4473462, 0.6279654
9800, -0.0522461, -0.0461426, 0.9094239, -2.6631021, 3.4389574, 0.6295761
9780, -0.0578613, -0.0476074, 0.9057618, -2.6657783, 3.4397752, 0.6299915
9776, -0.0551758, -0.0439453, 0.9079590, -2.6660277, 3.4376113, 0.6311703
9768, -0.0583496, -0.0478516, 0.9001465, -2.6701097, 3.4396924, 0.6320938
9752, -0.0583496, -0.0483398, 0.9030762, -2.6740946, 3.4409244, 0.6308299
12268, -0.0495605, -0.0463867, 0.9072266, -2.6759088, 3.4308712, 0.6300459
9792, -0.0537109, -0.0495605, 0.9089356, -2.6816029, 3.4272830, 0.6307668
9748, -0.0573730, -0.0427246, 0.9096680, -2.6788339, 3.4281194, 0.6288921
9760, -0.0595703, -0.0466309, 0.9040528, -2.6799652, 3.4307150, 0.6285790
9752, -0.0595703, -0.0458984, 0.9023438, -2.6814210, 3.4339799, 0.6299105
9768, -0.0583496, -0.0480957, 0.9167481, -2.6842405, 3.4343683, 0.6302845
9772, -0.0627441, -0.0495605, 0.9145508, -2.6882548, 3.4388191, 0.6302376
12284, -0.0585937, -0.0434570, 0.9133301, -2.6842191, 3.4375998, 0.6301866
9812, -0.0541992, -0.0446777, 0.9177247, -2.6835498, 3.4333007, 0.6322093
9768, -0.0510254, -0.0461426, 0.9086915, -2.6863968, 3.4241526, 0.6306400
9768, -0.0559082, -0.0471191, 0.9101563, -2.6886348, 3.4223546, 0.6296814
9784, -0.0529785, -0.0446777, 0.9072266, -2.6875762, 3.4173355, 0.6295057
17304, -0.0495605, -0.0532227, 0.9133301, -2.6980648, 3.4076700, 0.6299524
12068, -0.0529785, -0.0451660, 0.9135743, -2.6954326, 3.4029490, 0.6312865
12400, -0.0554199, -0.0454102, 0.9125977, -2.6961007, 3.4009094, 0.6308690
9816, -0.0520020, -0.0488281, 0.9157715, -2.7003223, 3.3939218, 0.6306933
9800, -0.0551758, -0.0476074, 0.9079590, -2.7054250, 3.3895785, 0.6306507
9784, -0.0568848, -0.0415039, 0.9121094, -2.7004873, 3.3901968, 0.6309135
9764, -0.0534668, -0.0485840, 0.9084473, -2.7032010, 3.3847162, 0.6311500
9756, -0.0595703, -0.0517578, 0.9113770, -2.7095978, 3.3881978, 0.6331727
9760, -0.0583496, -0.0385742, 0.9082032, -2.7009518, 3.3904154, 0.6325848
19604, -0.0578613, -0.0488281, 0.9106446, -2.7027995, 3.3924965, 0.6318890
9820, -0.0554199, -0.0498047, 0.9147950, -2.7088320, 3.3914442, 0.6321518
9784, -0.0585937, -0.0395508, 0.9089356, -2.7011752, 3.3941679, 0.6319761
9800, -0.0534668, -0.0488281, 0.9133301, -2.7047967, 3.3897328, 0.6322389
9808, -0.0546875, -0.0407715, 0.9086915, -2.6979410, 3.3881525, 0.6337230
9788, -0.0551758, -0.0468750, 0.9018555, -2.7005751, 3.3877527, 0.6336847
9788, -0.0507812, -0.0471191, 0.9165040, -2.7039551, 3.3786692, 0.6327261
12332, -0.0559082, -0.0444336, 0.9111329, -2.7024545, 3.3794834, 0.6323086
9812, -0.0556641, -0.0439453, 0.9086915, -2.7005579, 3.3784615, 0.6305866
9768, -0.0571289, -0.0522461, 0.9074707, -2.7067267, 3.3781123, 0.6297807
9756, -0.0559082, -0.0444336, 0.9050293, -2.7047059, 3.3799550, 0.6311164
9744, -0.0563965, -0.0424805, 0.9123536, -2.6996014, 3.3799452, 0.6309213
9776, -0.0546875, -0.0529785, 0.9101563, -2.7085742, 3.3763868, 0.6307456
12316, -0.0639648, -0.0502930, 0.9074707, -2.7126636, 3.3866188, 0.6287055
9792, -0.0585937, -0.0495605, 0.9099122, -2.7174165, 3.3890638, 0.6303422
9768, -0.0563965, -0.0468750, 0.9069825, -2.7184839, 3.3889422, 0.6293421
9776, -0.0561523, -0.0520020, 0.9182129, -2.7250514, 3.3867242, 0.6290290
9760, -0.0551758, -0.0493164, 0.9165040, -2.7301075, 3.3830499, 0.6284784
9756, -0.0556641, -0.0480957, 0.9111329, -2.7308213, 3.3813946, 0.6295392
9776, -0.0573730, -0.0471191, 0.9057618, -2.7309939, 3.3834128, 0.6299547
12328, -0.0563965, -0.0451660, 0.9143067, -2.7278220, 3.3824663, 0.6275219
9808, -0.0576172, -0.0449219, 0.9042969, -2.7262620, 3.3832261, 0.6288535
9764, -0.0583496, -0.0424805, 0.9143067, -2.7220211, 3.3853440, 0.6297269
9772, -0.0544434, -0.0502930, 0.9101563, -2.7273800, 3.3819723, 0.6296886
9760, -0.0610352, -0.0424805, 0.9101563, -2.7242393, 3.3885340, 0.6307147
9768, -0.0534668, -0.0490723, 0.9104004, -2.7286126, 3.3846886, 0.6305195
9760, -0.0576172, -0.0458984, 0.9096680, -2.7284812, 3.3863966, 0.6292446
12328, -0.0559082, -0.0473633, 0.9077149, -2.7287166, 3.3858337, 0.6295599
9812, -0.0537109, -0.0483398, 0.9082032, -2.7331459, 3.3837258, 0.6284486
9764, -0.0524902, -0.0454102, 0.9060059, -2.7315042, 3.3794925, 0.6290168
9756, -0.0561523, -0.0520020, 0.9077149, -2.7390561, 3.3791575, 0.6288216
